Pickup_latitude,Pickup_longitude,duration,total_adjusted,total,Fare_amount,Tip_amount,Trip_distance,RateCodeID
40.77908325,-73.91790009,43,53.7955,56.08,44.5,11.58,15.23,1
40.72232056,-73.95753479,46.93,42.571,44.5,44.5,0,12.86,1
40.70056915,-73.80753326,44.28,42.526,44.5,44.5,0,13.16,1
40.68732834,-73.9615097,40.2,50.845,53.05,44,9.05,14.7,1
40.69913483,-73.80702972,34,46.6945,49,44,5,15.37,1
40.71302795,-73.94417572,44.13,41.975,44,44,0,13.5,1
40.68434906,-73.96102905,70.7,51.265,52.36,43.5,8.86,7.3,1
40.83343124,-73.91437531,56.95,41.6865,43.5,43.5,0,12.09,1
40.76715088,-73.91246796,40.9,41.2935,43.5,43.5,0,14.71,1
40.70248795,-73.9931488,25.98,41.127,43.5,43.5,0,15.82,1
40.81194687,-73.94982147,41.82,49.9015,51.76,43,8.76,12.39,1
40.74613571,-73.89749908,28.55,45.69,48,43,5,15.4,1
40.71369171,-73.83034515,27.8,45.657,48,43,5,15.62,1
40.75942612,-73.83067322,47.77,44.667,46.5,43,3.5,12.22,1
40.78900146,-73.95231628,40.03,43.918,46,43,3,13.88,1
40.72231674,-73.95755768,33.58,40.8145,43,43,0,14.57,1
40.71910858,-73.96295166,36.55,40.7275,43,43,0,15.15,1
40.79940414,-73.93888855,27.17,50.1065,52.37,42.5,9.87,15.09,1
40.69193649,-73.98178101,37.2,47.475,49.5,42.5,7,13.5,1
40.67134857,-73.95770264,42.55,40.64,42.5,42.5,0,12.4,1
40.68811798,-73.99803925,42.02,40.4645,42.5,42.5,0,13.57,1
40.74563599,-73.9031601,37.17,40.424,42.5,42.5,0,13.84,1
40.72361374,-73.95127106,34.48,40.385,42.5,42.5,0,14.1,1
40.81623459,-73.91812134,32.58,40.28,42.5,42.5,0,14.8,1
40.79624176,-73.93235016,39.1,40.2155,42.5,42.5,0,15.23,1
40.86276245,-73.90169525,32.73,54.3955,56.5,42,14.5,14.03,1
40.69283676,-73.99185181,52.73,49.0735,50.56,42,8.56,9.91,1
40.67912674,-73.99565887,44.67,48.5875,50.56,42,8.56,13.15,1
40.6859169,-73.97294617,37.73,50.068,52.18,41.5,10.68,14.08,1
40.78076935,-73.91072083,25,49.8045,52.08,41.5,10.58,15.17,1
40.68880081,-73.96595001,49.77,48.3345,50.16,41.5,8.66,12.17,1
40.6814003,-73.99739075,58.2,39.853,41.5,41.5,0,10.98,1
40.66881561,-73.98022461,50.33,47.6575,49.36,41,8.36,11.35,1
40.71575546,-73.96155548,26.4,47.258,49.46,41,8.46,14.68,1
40.76696777,-73.92115021,30.8,47.235,49.35,41,8.35,14.1,1
40.69420624,-73.99258423,50.18,46.179,48,41,7,12.14,1
40.67438889,-73.96308899,52.47,42.1445,44,41,3,12.37,1
40.85378647,-73.90757751,50.35,39.44,41,41,0,10.4,1
40.71520233,-73.83190918,51.43,39.32,41,41,0,11.2,1
40.77600479,-73.91083527,36.48,38.96,41,41,0,13.6,1
40.77604675,-73.91088104,41.82,38.936,41,41,0,13.76,1
40.79954147,-73.9389267,24.75,50.1215,52.34,40.5,11.84,14.79,1
40.71961594,-73.96229553,48.58,47.128,48.76,40.5,8.26,10.88,1
40.78990936,-73.95243835,46.47,47.011,48.76,40.5,8.26,11.66,1
40.71828842,-73.81533813,30.57,43.463,45.5,40.5,5,13.58,1
40.64892197,-73.92616272,31.07,43.385,45.5,40.5,5,14.1,1
40.7616539,-73.92471313,22.8,41.319,43.5,40.5,3,14.54,1
40.76211166,-73.92547607,27.48,38.37,40.5,40.5,0,14.2,1
40.64148331,-74.01761627,32.58,38.3565,40.5,40.5,0,14.29,1
40.6164856,-73.93032837,21,38.28,40.5,40.5,0,14.8,1
40.6726532,-73.95724487,48.75,46.6505,48.26,40,8.26,10.73,1
40.71575165,-73.94967651,29.03,46.1385,48.36,40,8.36,14.81,1
40.86668396,-73.9241333,36.47,40.1655,42,40,2,12.23,1
40.74415207,-73.91168213,26.53,39.915,42,40,2,13.9,1
40.68386841,-73.97646332,29.62,38.827,40,40,0,7.82,5
40.69624329,-73.98834991,46.53,38.23,40,40,0,11.8,1
40.7473793,-73.9419632,28.63,37.8955,40,40,0,14.03,1
40.72135162,-73.84429169,29.07,37.84,40,40,0,14.4,1
40.71378326,-73.83003235,34.2,47.31,49.2,39.5,9.7,12.6,1
40.65437317,-74.00426483,29.97,45.6605,47.66,39.5,8.16,13.33,1
40.67270279,-73.99176025,32.53,45.5455,47.56,39.5,8.06,13.43,1
40.7469635,-73.89103699,22.03,42.3565,44.5,39.5,5,14.29,1
40.81649017,-73.94660187,46.97,39.739,41.5,39.5,2,11.74,1
40.65017319,-73.96027374,41.1,37.7735,39.5,39.5,0,11.51,1
40.75950241,-73.91994476,25.07,37.3685,39.5,39.5,0,14.21,1
40.80483627,-73.93816376,27.75,46.095,48.15,39,9.15,13.7,1
40.77787399,-73.9037323,35.8,44.878,46.96,39,7.96,13.88,1
40.70568848,-73.83169556,31.43,41.9705,44,39,5,13.53,1
