index,x,y,a1,a2
41,39.17295,-77.28802,29,0,
41,39.1734,-77.29156,6,0,
42,39.1162,-77.21024,18,0,
42,39.11892,-77.21053,6,0,
42,39.12296,-77.2116,6,0,
43,39.12829,-77.19434,4,0,
43,39.1289,-77.19237,21,0,
43,39.12895,-77.19235,21,0,
44,39.10911,-77.22101,10,0,
44,39.10969,-77.22155,10,0,
44,39.11103,-77.22359,10,0,
44,39.11469,-77.21991,2942,0,
45,39.11618,-77.20696,18,0,
45,39.1162,-77.21024,18,0,
45,39.11627,-77.20937,2941,0,
46,39.16073,-77.16573,6,0,
46,39.16217,-77.16066,6,0,
46,39.16253,-77.16576,7,0,
46,39.16467,-77.16911,6,0,
46,39.16637,-77.16717,6,0,
47,39.12887,-77.16758,6,0,
47,39.12971,-77.17453,8,0,
47,39.13764,-77.17034,6,0,
47,39.13872,-77.17039,6,0,
48,39.10503,-77.23947,6,0,
48,39.10677,-77.24241,6,0,
48,39.10765,-77.24107,6,0,
48,39.10866,-77.23936,14,0,
48,39.11153,-77.24352,6,0,
49,39.10503,-77.23947,6,0,
49,39.10677,-77.24703,29,0,
49,39.10677,-77.24241,6,0,
49,39.10765,-77.24107,6,0,
50,39.15138,-77.29457,5,0,
50,39.15146,-77.29455,10,0,
50,39.15402,-77.2943,10,0,
51,39.15402,-77.2943,10,0,
51,39.15475,-77.29565,6,0,
51,39.15581,-77.30183,6,0,
51,39.15734,-77.29543,6,0,
52,39.15475,-77.29565,6,0,
52,39.15581,-77.30183,6,0,
52,39.15734,-77.29543,6,0,
52,39.15963,-77.29649,27,0,
53,39.15475,-77.29565,6,0,
53,39.15581,-77.30183,6,0,
53,39.15734,-77.29543,6,0,
53,39.15963,-77.29649,27,0,
53,39.15968,-77.3084,6,0,
53,39.16342,-77.30616,10,0,
54,39.10081,-77.24141,29,0,
54,39.10306,-77.23382,6,0,
54,39.10503,-77.23947,6,0,
54,39.10677,-77.24241,6,0,
54,39.10765,-77.24107,6,0,
54,39.10866,-77.23936,14,0,
55,39.1839,-77.16085,6,0,
55,39.18395,-77.16084,6,0,
55,39.18407,-77.15558,6,0,
55,39.18962,-77.17082,6,0,
55,39.19047,-77.15941,8,0,
56,39.15474,-77.16372,22,0,
56,39.15639,-77.16534,8,0,
56,39.1591,-77.16044,6,0,
56,39.1591,-77.16253,6,0,
56,39.16073,-77.16573,6,0,
56,39.16217,-77.16066,6,0,
57,39.13764,-77.17034,6,0,
57,39.13872,-77.17039,6,0,
57,39.14288,-77.16672,6,0,
57,39.14401,-77.17339,17,0,
58,39.15289,-77.15574,10,0,
58,39.15408,-77.16094,10,0,
58,39.1556,-77.15947,6,0,
58,39.1591,-77.16032,10,0,
59,39.1591,-77.16044,6,0,
59,39.1591,-77.16253,6,0,
59,39.1591,-77.16032,10,0,
60,39.13821,-77.16226,6,0,
60,39.13974,-77.16315,6,0,
60,39.14288,-77.16672,6,0,
60,39.14459,-77.16374,18,0,
61,39.16217,-77.16066,6,0,
61,39.16681,-77.15382,18,0,
61,39.16924,-77.15442,6,0,
62,39.11717,-77.16474,6,0,
62,39.12537,-77.17486,6,0,
62,39.12721,-77.15921,10,0,
62,39.12827,-77.15912,6,0,
62,39.12887,-77.16758,6,0,
62,39.12971,-77.17453,8,0,
62,39.13128,-77.15901,10,0,
62,39.13764,-77.17034,6,0,
62,39.13821,-77.16226,6,0,
63,39.15581,-77.30183,6,0,
63,39.15968,-77.3084,6,0,
63,39.16342,-77.30616,10,0,
63,39.16439,-77.30572,6,0,
64,39.12887,-77.16758,6,0,
64,39.13821,-77.16226,6,0,
64,39.13824,-77.16218,6,0,
64,39.13974,-77.16315,6,0,
65,39.11724,-77.17148,6,0,
65,39.11918,-77.17194,7,0,
65,39.12122,-77.17563,7,0,
66,39.09404,-77.19306,2942,0,
66,39.0968,-77.18678,6,0,
66,39.0994,-77.19239,6,0,
66,39.10125,-77.19537,29,0,
66,39.10351,-77.19071,6,0,
66,39.10416,-77.1923,6,0,
67,39.11457,-77.16441,6,0,
67,39.11566,-77.16616,14,0,
67,39.11646,-77.1602,6,0,
67,39.11717,-77.16474,6,0,
67,39.12887,-77.16758,6,0,
68,39.08946,-77.19006,6,0,
68,39.09211,-77.18829,6,0,
68,39.093,-77.19779,2941,0,
68,39.09404,-77.19306,2942,0,
68,39.0968,-77.18678,6,0,
68,39.0994,-77.19239,6,0,
69,39.14432,-77.14471,28,0,
69,39.14566,-77.14405,28,0,
69,39.14877,-77.14705,8,0,
70,39.08767,-77.18716,6,0,
70,39.08946,-77.19006,6,0,
70,39.09211,-77.18829,6,0,
70,39.09404,-77.19306,2942,0,
71,39.11295,-77.16454,21,0,
71,39.11362,-77.16557,6,0,
71,39.11437,-77.15988,6,0,
71,39.11457,-77.16441,6,0,
71,39.11566,-77.16616,14,0,
71,39.11646,-77.1602,6,0,
