index,x,y,a1,a2
185,38.99455,-77.02689,22,0,
185,38.99455,-77.028,18,0,
185,38.99606,-77.02821,18,0,
186,39.0309,-76.99347,6,0,
186,39.0346,-76.99848,29,0,
186,39.03547,-76.99706,6,0,
186,39.03651,-76.9959,18,0,
186,39.03698,-76.99963,6,0,
186,39.03774,-76.99773,6,0,
187,38.9979,-77.02464,18,0,
187,38.99807,-77.02307,10,0,
187,38.99812,-77.02309,18,0,
188,38.99788,-77.0247,6,0,
188,38.9979,-77.02464,18,0,
188,38.99812,-77.02309,18,0,
189,38.99688,-77.02544,6,0,
189,38.99788,-77.0247,6,0,
189,38.9979,-77.02464,18,0,
189,38.99904,-77.02617,6,0,
190,38.99157,-77.02781,22,0,
190,38.99247,-77.02891,4,0,
190,38.99249,-77.02665,22,0,
190,38.9925,-77.02755,22,0,
190,38.99299,-77.02666,6,0,
190,38.99339,-77.02798,22,0,
191,39.10449,-76.959,6,0,
191,39.11069,-76.96292,29,0,
191,39.1117,-76.9472,6,0,
191,39.11451,-76.95431,6,0,
191,39.11975,-76.96556,6,0,
192,38.98158,-77.0228,27,0,
192,38.98452,-77.02661,18,0,
192,38.98453,-77.02661,18,0,
193,38.98452,-77.02661,18,0,
193,38.98453,-77.02661,18,0,
193,38.98455,-77.02663,22,0,
194,39.06125,-76.96738,6,0,
194,39.06305,-76.97241,4,0,
194,39.06511,-76.96468,6,0,
194,39.06643,-76.96739,6,0,
194,39.06978,-76.96246,6,0,
194,39.07067,-76.97063,27,0,
195,39.00975,-76.99982,14,0,
195,39.00981,-76.99984,14,0,
195,39.01088,-76.99982,5,0,
196,39.10766,-76.93831,5,0,
196,39.1117,-76.9472,6,0,
196,39.11451,-76.95431,6,0,
197,39.06511,-76.96468,6,0,
197,39.06643,-76.96739,6,0,
197,39.06797,-76.95924,29,0,
197,39.06978,-76.96246,6,0,
197,39.07304,-76.95957,6,0,
197,39.07468,-76.96361,18,0,
198,39.06125,-76.96738,6,0,
198,39.0627,-76.96273,28,0,
198,39.06501,-76.96062,10,0,
198,39.06511,-76.96468,6,0,
198,39.06643,-76.96739,6,0,
198,39.06978,-76.96246,6,0,
199,39.07304,-76.95957,6,0,
199,39.07336,-76.95416,6,0,
199,39.0734,-76.95576,18,0,
200,38.99959,-76.99537,18,0,
200,38.99966,-76.99528,29,0,
200,39.00153,-76.9956,29,0,
201,39.01164,-76.97984,6,0,
201,39.01249,-76.9797,6,0,
201,39.01318,-76.97934,6,0,
201,39.01387,-76.98418,14,0,
202,38.98188,-76.99689,8,0,
202,38.98335,-77.00033,29,0,
202,38.9883,-77.0008,8,0,
203,38.99416,-76.99258,28,0,
203,38.99422,-76.99258,28,0,
203,38.9956,-76.99223,28,0,
204,38.99422,-76.99258,28,0,
204,38.9956,-76.99223,28,0,
204,38.99676,-76.99192,29,0,
205,39.0116,-76.97982,28,0,
205,39.01164,-76.97984,6,0,
205,39.01249,-76.9797,6,0,
206,38.99268,-76.99148,28,0,
206,38.99383,-76.99113,28,0,
206,38.99416,-76.99258,28,0,
206,38.99422,-76.99258,28,0,
207,39.08105,-76.94633,18,0,
207,39.08106,-76.94638,18,0,
207,39.08214,-76.94728,6,0,
208,38.98898,-76.98772,28,0,
208,38.99268,-76.99148,28,0,
208,38.99281,-76.99126,2,0,
208,38.99383,-76.99113,28,0,
209,39.08946,-76.94011,6,0,
209,39.08999,-76.93828,6,0,
209,39.09,-76.93964,21,0,
210,39.07726,-76.93845,5,0,
210,39.07833,-76.94107,5,0,
210,39.07879,-76.93767,5,0,
210,39.079,-76.93995,29,0,
210,39.08206,-76.93929,5,0,
211,39.08474,-76.93659,21,0,
211,39.08909,-76.93687,6,0,
211,39.08999,-76.93828,6,0,
211,39.09029,-76.9343,6,0,
212,39.07879,-76.93767,5,0,
212,39.079,-76.93995,29,0,
212,39.08135,-76.9368,5,0,
212,39.08206,-76.93929,5,0,
212,39.08303,-76.93855,5,0,
212,39.08327,-76.94235,4,0,
213,39.07726,-76.93845,5,0,
213,39.07879,-76.93767,5,0,
213,39.079,-76.93995,29,0,
213,39.08135,-76.9368,5,0,
213,39.08206,-76.93929,5,0,
214,39.07635,-76.94006,5,0,
214,39.07726,-76.93845,5,0,
214,39.07879,-76.93767,5,0,
214,39.079,-76.93995,29,0,
215,39.08443,-76.93222,6,0,
215,39.08909,-76.93687,6,0,
215,39.09029,-76.9343,6,0,
215,39.09255,-76.92949,29,0,
215,39.09316,-76.93729,5,0,
215,39.09423,-76.93125,6,0,
216,39.07879,-76.93767,5,0,
216,39.08127,-76.9355,6,0,
216,39.08135,-76.9368,5,0,
216,39.08199,-76.93626,18,0,
216,39.08206,-76.93929,5,0,
216,39.08303,-76.93855,5,0,
