1	0
39.14732	-77.22653
39.15078	-77.23584
39.15297	-77.22697
39.15343	-77.23086
39.15898	-77.22453
39.16058	-77.22308
39.19188	-77.23652
39.19245	-77.24002
39.20056	-77.23857
39.20057	-77.23854
39.20708	-77.23278
39.16464	-77.19705
39.16848	-77.19779
39.16974	-77.20438
39.16992	-77.2055
39.17235	-77.20844
39.17414	-77.2083
39.17621	-77.21309
39.17636	-77.21137
39.17694	-77.21006
39.17981	-77.21167
39.18343	-77.21382
39.17373	-77.24577
39.17996	-77.2505
39.18365	-77.25259
39.18408	-77.25423
39.18436	-77.25479
39.18859	-77.25155
39.1887	-77.25836
